name,category,status,condition,qrCode,notes,purchaseDate,value,weight,storageCase,imageUrl
"Sony FX6 Camera Body","Cameras","Available","Good","FX6-001","Full-frame cinema camera with 10.2MP sensor","2023-01-15","6000","2.6","Case A1","https://example.com/images/fx6.jpg"
"Canon CN-E 24mm T1.5 L F","Lenses","Available","Good","LENS-024","Cinema prime lens with full manual control","2022-06-10","4500","1.8","Lens Case 1",""
"ARRI SkyPanel S60-C LED","Lighting","Available","Good","ARRI-S60-001","RGB LED soft light with wireless control","2023-03-20","3200","14.3","Road Case B2",""
"Sennheiser MKH 416 Shotgun Mic","Audio","Checked Out","Good","MKH416-001","Industry standard shotgun microphone","2021-09-05","1000","0.3","Pelican 1200",""
"DJI Ronin 4D Gimbal","Support","Available","Used but OK","RONIN4D-001","4-axis cinema camera system with built-in gimbal","2023-08-12","7500","10.5","Wheeled Case C3","https://example.com/images/ronin4d.jpg"
"SmallHD 703 Bolt Monitor","Monitors","Available","Good","MON-703-001","7-inch wireless HDMI/SDI monitor","2022-11-22","2800","1.4","Monitor Case 1",""
"Anton Bauer Dionic XT90 Battery","Batteries & Power","Available","Good","BAT-XT90-001","90Wh V-mount battery pack","2023-02-18","380","1.2","Battery Bag 1",""
"SanDisk 256GB CFexpress Card","Media","Available","Good","MEM-CFE-001","High-speed memory card for cinema cameras","2023-04-05","450","0.05","Memory Card Wallet",""
"Matthews C-Stand 40in","Grip","Available","Good","CSTAND-001","Heavy duty Century stand with sliding leg","2020-12-01","250","11.0","Grip Truck",""
"25ft BNC Cable (HD-SDI)","Cables","Available","Good","CABLE-BNC-25-001","Professional grade video cable","2021-03-15","45","0.8","Cable Bag 1",""
"DJI Mavic 3 Cine Drone","Drones","In Maintenance","Damage Noted","DRONE-M3C-001","Professional cinema drone with ProRes recording. Note: Gimbal needs calibration","2023-05-10","5000","2.0","Drone Case D1","https://example.com/images/mavic3.jpg"
"Pelican 1650 Hard Case","Cases","Available","Good","CASE-1650-001","Large waterproof equipment case with wheels","2022-08-20","320","27.8","Warehouse Shelf 4",""
"MacBook Pro 16in M3 Max","Computers","Available","Good","MBP-M3-001","Video editing workstation with 64GB RAM","2023-10-01","4500","4.8","Office Cabinet 2",""
"Production Slate (Clapboard)","Production Supplies","Available","Good","SLATE-001","Digital timecode slate with color sticks","2021-06-12","350","1.5","G&E Cart",""
"Sprinter Van Production Vehicle","Vehicles","Available","Good","VAN-SPRNT-001","Mercedes Sprinter 2500 High Roof - VIN: 1234567890","2022-01-10","55000","7000","Parking Lot",""
"Gaffer Tape Roll (2in x 50yd)","Expendables","Available","Good","TAPE-GAFF-001","Black gaffer tape - consumable item","2023-09-01","18","0.6","Supply Cabinet",""
